Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,0,1,1,1,1,261308.34384573798,1,506.0,21.0,5,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,0,1,1,1,1,405478.4645882141,1,506.0,21.0,5,16.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,0,1,1,2,1,0,1,0,0,1,135159.48819607138,1,260.0,19.0,3,16.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,113533.97008469995,0,260.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,309965.75959632365,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,300955.1270499189,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,268516.8498828618,1,506.0,23.0,6,17.0,Punjab
"Paragon City, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,259506.21733645702,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,7.0,0,0,0,0,0,0,0,0,0,0,430708.2357181474,0,506.0,13.0,0,13.0,Punjab
"Cantt, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,306361.5065777618,0,506.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,270318.97639214277,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,140565.8677239142,1,260.0,21.0,6,15.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,0,1,1,1,68480.80735267616,1,130.0,18.0,5,13.0,Punjab
